Year,HBR,HBRQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2013,S08000016,,75plus years,,Females,,Coronary Heart Disease,69,,1057.309225,,1026.992835
2013,S08000017,,0-44 years,,Males,,Coronary Heart Disease,4,,11.46230335,,13.27206793
2013,S08000017,,0-44 years,,Females,,Coronary Heart Disease,1,,2.843574942,,3.505398313
2013,S08000017,,45-64 years,,Males,,Coronary Heart Disease,22,,99.86382206,,98.73663752
2013,S08000017,,45-64 years,,Females,,Coronary Heart Disease,13,,56.17977528,,55.21902298
2013,S08000017,,65-74 years,,Males,,Coronary Heart Disease,37,,395.2991453,,406.1287861
2013,S08000017,,65-74 years,,Females,,Coronary Heart Disease,17,,169.3564455,,173.0749691
2013,S08000017,,75plus years,,Males,,Coronary Heart Disease,105,,1568.803227,,1833.883074
2013,S08000017,,75plus years,,Females,,Coronary Heart Disease,75,,837.520938,,800.6316116
2013,S08000019,,0-44 years,,Males,,Coronary Heart Disease,5,,6.148927012,,5.907292637
2013,S08000019,,0-44 years,,Females,,Coronary Heart Disease,2,,2.44436025,,2.669609034
2013,S08000019,,45-64 years,,Males,,Coronary Heart Disease,48,,116.8594035,,120.6366685
2013,S08000019,,45-64 years,,Females,,Coronary Heart Disease,14,,32.81378179,,33.94599191
2013,S08000019,,65-74 years,,Males,,Coronary Heart Disease,60,,423.1908591,,437.2170612
2013,S08000019,,65-74 years,,Females,,Coronary Heart Disease,21,,132.8777525,,136.2887128
2013,S08000019,,75plus years,,Males,,Coronary Heart Disease,115,,1246.882793,,1401.479558
2013,S08000019,,75plus years,,Females,,Coronary Heart Disease,127,,934.5794393,,935.2279842
2013,S08000020,,0-44 years,,Males,,Coronary Heart Disease,7,,4.214734713,,4.354984494
2013,S08000020,,0-44 years,,Females,,Coronary Heart Disease,3,,1.867820565,,1.873441029
2013,S08000020,,45-64 years,,Males,,Coronary Heart Disease,68,,87.38338174,,88.23196188
2013,S08000020,,45-64 years,,Females,,Coronary Heart Disease,26,,33.28980052,,33.61293876
2013,S08000020,,65-74 years,,Males,,Coronary Heart Disease,81,,315.6541055,,325.3325664
2013,S08000020,,65-74 years,,Females,,Coronary Heart Disease,40,,144.7178003,,148.7170078
2013,S08000020,,75plus years,,Males,,Coronary Heart Disease,198,,1123.595506,,1240.513904
2013,S08000020,,75plus years,,Females,,Coronary Heart Disease,249,,970.4575571,,947.5128836
2013,S08000022,,0-44 years,,Males,,Coronary Heart Disease,5,,6.24695461,,6.997555185
2013,S08000022,,0-44 years,,Females,,Coronary Heart Disease,2,,2.569769235,,2.518579112
2013,S08000022,,45-64 years,,Males,,Coronary Heart Disease,54,,114.6350783,,113.3016441
2013,S08000022,,45-64 years,,Females,,Coronary Heart Disease,10,,20.48089133,,20.46022631
2013,S08000022,,65-74 years,,Males,,Coronary Heart Disease,62,,336.8466804,,352.6036041
2013,S08000022,,65-74 years,,Females,,Coronary Heart Disease,24,,122.2680727,,128.2995151
2013,S08000022,,75plus years,,Males,,Coronary Heart Disease,144,,1206.838753,,1328.145458
2013,S08000022,,75plus years,,Females,,Coronary Heart Disease,165,,958.5221331,,936.0677522
2013,S08000024,,0-44 years,,Males,,Coronary Heart Disease,6,,2.413505979,,2.545275394
2013,S08000024,,0-44 years,,Females,,Coronary Heart Disease,3,,1.192601103,,1.291299905
2013,S08000024,,45-64 years,,Males,,Coronary Heart Disease,116,,108.7669948,,112.817238
2013,S08000024,,45-64 years,,Females,,Coronary Heart Disease,33,,29.9382184,,30.79955104
2013,S08000024,,65-74 years,,Males,,Coronary Heart Disease,132,,389.8174945,,404.5685056
2013,S08000024,,65-74 years,,Females,,Coronary Heart Disease,48,,125.342734,,127.2034328
2013,S08000024,,75plus years,,Males,,Coronary Heart Disease,320,,1342.563457,,1454.323271
2013,S08000024,,75plus years,,Females,,Coronary Heart Disease,322,,877.4081038,,847.9837838
2013,S08000025,,0-44 years,,Males,,Coronary Heart Disease,0,,0,,0
2013,S08000025,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S08000025,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,29.3283801
2013,S08000025,,45-64 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S08000025,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,316.5259708
2013,S08000025,,65-74 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S08000025,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1419.75976
2013,S08000025,,75plus years,,Females,,Coronary Heart Disease,,c,,c,1037.660256
2013,S08000026,,0-44 years,,Males,,Coronary Heart Disease,0,,0,,0
2013,S08000026,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S08000026,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,205.5191039
2013,S08000026,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,30.43213634
2013,S08000026,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,604.3410694
2013,S08000026,,65-74 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S08000026,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1563.845134
2013,S08000026,,75plus years,,Females,,Coronary Heart Disease,,c,,c,752.3739617
2013,S08000028,,0-44 years,,Males,,Coronary Heart Disease,0,,0,,0
2013,S08000028,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S08000028,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,89.76597549
2013,S08000028,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,50.21146753
2013,S08000028,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,186.3551915
2013,S08000028,,65-74 years,,Females,,Coronary Heart Disease,0,,0,,0
2013,S08000028,,75plus years,,Males,,Coronary Heart Disease,,c,,c,1046.93652
2013,S08000028,,75plus years,,Females,,Coronary Heart Disease,,c,,c,473.0296199
2013,S08000029,,0-44 years,,Males,,Coronary Heart Disease,9,,9.255545614,,9.957124255
2013,S08000029,,0-44 years,,Females,,Coronary Heart Disease,2,,2.033470932,,2.188313322
2013,S08000029,,45-64 years,,Males,,Coronary Heart Disease,62,,124.2410276,,125.9971638
2013,S08000029,,45-64 years,,Females,,Coronary Heart Disease,11,,20.99757573,,21.12380702
2013,S08000029,,65-74 years,,Males,,Coronary Heart Disease,74,,396.9105342,,416.5043728
2013,S08000029,,65-74 years,,Females,,Coronary Heart Disease,14,,68.72852234,,72.89455044
2013,S08000029,,75plus years,,Males,,Coronary Heart Disease,172,,1411.571604,,1547.336027
2013,S08000029,,75plus years,,Females,,Coronary Heart Disease,166,,931.6421596,,914.4028488
2013,S08000030,,0-44 years,,Males,,Coronary Heart Disease,13,,11.94128562,,13.33900831
2013,S08000030,,0-44 years,,Females,,Coronary Heart Disease,2,,1.842010739,,2.103631618
2013,S08000030,,45-64 years,,Males,,Coronary Heart Disease,50,,90.96697899,,91.60462247
2013,S08000030,,45-64 years,,Females,,Coronary Heart Disease,11,,19.09722222,,19.21568272
2013,S08000030,,65-74 years,,Males,,Coronary Heart Disease,71,,340.9854961,,340.016817
2013,S08000030,,65-74 years,,Females,,Coronary Heart Disease,32,,138.5401333,,139.7144133
2013,S08000030,,75plus years,,Males,,Coronary Heart Disease,187,,1218.637993,,1309.720209
2013,S08000030,,75plus years,,Females,,Coronary Heart Disease,204,,891.3356928,,849.0046416
2013,S08000031,,0-44 years,,Males,,Coronary Heart Disease,16,,4.935758024,,5.468104603
2013,S08000031,,0-44 years,,Females,,Coronary Heart Disease,3,,0.919915245,,0.887907053
2013,S08000031,,45-64 years,,Males,,Coronary Heart Disease,211,,144.5680772,,149.6832513
2013,S08000031,,45-64 years,,Females,,Coronary Heart Disease,56,,35.61774527,,36.82662962
2013,S08000031,,65-74 years,,Males,,Coronary Heart Disease,199,,436.8921381,,457.3623395
2013,S08000031,,65-74 years,,Females,,Coronary Heart Disease,108,,204.6035806,,206.7438392
2013,S08000031,,75plus years,,Males,,Coronary Heart Disease,415,,1289.701038,,1401.618181
2013,S08000031,,75plus years,,Females,,Coronary Heart Disease,500,,926.8012382,,913.3725679
2013,S08000032,,0-44 years,,Males,,Coronary Heart Disease,13,,7.279283718,,7.530666153
2013,S08000032,,0-44 years,,Females,,Coronary Heart Disease,1,,0.555441381,,0.634164814
2013,S08000032,,45-64 years,,Males,,Coronary Heart Disease,136,,152.8691058,,156.4167473
2013,S08000032,,45-64 years,,Females,,Coronary Heart Disease,34,,35.74432296,,36.63138283
2013,S08000032,,65-74 years,,Males,,Coronary Heart Disease,143,,494.1087039,,502.3712142
2013,S08000032,,65-74 years,,Females,,Coronary Heart Disease,72,,216.1642849,,219.464435
2013,S08000032,,75plus years,,Males,,Coronary Heart Disease,258,,1400.651466,,1630.820622
2013,S08000032,,75plus years,,Females,,Coronary Heart Disease,278,,951.72886,,969.801203
2013,S92000003,d,0-44 years,,Males,,Coronary Heart Disease,86,,5.90200071,,6.248690163
2013,S92000003,d,0-44 years,,Females,,Coronary Heart Disease,22,,1.507174493,,1.597832826
2013,S92000003,d,45-64 years,,Males,,Coronary Heart Disease,868,,121.5209722,,123.637629
2013,S92000003,d,45-64 years,,Females,,Coronary Heart Disease,236,,31.47909041,,32.09544452
2013,S92000003,d,65-74 years,,Males,,Coronary Heart Disease,989,,400.4178273,,413.5421733
2013,S92000003,d,65-74 years,,Females,,Coronary Heart Disease,429,,155.8243435,,159.3906275
2013,S92000003,d,75plus years,,Males,,Coronary Heart Disease,2212,,1314.514931,,1448.009686
2013,S92000003,d,75plus years,,Females,,Coronary Heart Disease,2397,,935.1555276,,917.4438329
2014,S08000015,,0-44 years,,Males,,Coronary Heart Disease,3,,3.286014721,,3.340108983
2014,S08000015,,0-44 years,,Females,,Coronary Heart Disease,4,,4.270447436,,4.001840847
2014,S08000015,,45-64 years,,Males,,Coronary Heart Disease,65,,125.6475682,,125.4300936
2014,S08000015,,45-64 years,,Females,,Coronary Heart Disease,22,,39.03269876,,39.1329915
2014,S08000015,,65-74 years,,Males,,Coronary Heart Disease,79,,380.0635043,,393.7685462
2014,S08000015,,65-74 years,,Females,,Coronary Heart Disease,43,,184.7952211,,191.1521806
2014,S08000015,,75plus years,,Males,,Coronary Heart Disease,164,,1177.90706,,1300.987704
2014,S08000015,,75plus years,,Females,,Coronary Heart Disease,229,,1139.076801,,1111.105494
2014,S08000016,,0-44 years,,Males,,Coronary Heart Disease,1,,3.835679491,,3.631082062
2014,S08000016,,0-44 years,,Females,,Coronary Heart Disease,1,,3.746581245,,3.221412267
2014,S08000016,,45-64 years,,Males,,Coronary Heart Disease,20,,116.2520344,,115.4046216
2014,S08000016,,45-64 years,,Females,,Coronary Heart Disease,2,,11.27141569,,11.13119722
2014,S08000016,,65-74 years,,Males,,Coronary Heart Disease,27,,377.3057574,,379.8278762
2014,S08000016,,65-74 years,,Females,,Coronary Heart Disease,8,,105.180121,,104.1132579
2014,S08000016,,75plus years,,Males,,Coronary Heart Disease,66,,1350.245499,,1466.396241
2014,S08000016,,75plus years,,Females,,Coronary Heart Disease,52,,778.4431138,,748.3477014
2014,S08000017,,0-44 years,,Males,,Coronary Heart Disease,4,,11.6201377,,11.72323126
2014,S08000017,,0-44 years,,Females,,Coronary Heart Disease,1,,2.891008962,,2.745808719
2014,S08000017,,45-64 years,,Males,,Coronary Heart Disease,21,,95.93421654,,94.95302444
2014,S08000017,,45-64 years,,Females,,Coronary Heart Disease,6,,25.78205569,,25.75668422
2014,S08000017,,65-74 years,,Males,,Coronary Heart Disease,35,,362.9199502,,366.7292207
2014,S08000017,,65-74 years,,Females,,Coronary Heart Disease,17,,165.9832064,,170.2161391
2014,S08000017,,75plus years,,Males,,Coronary Heart Disease,94,,1368.666278,,1589.498435
2014,S08000017,,75plus years,,Females,,Coronary Heart Disease,85,,941.2025246,,917.0347012
2014,S08000019,,0-44 years,,Males,,Coronary Heart Disease,5,,6.211565936,,6.681231103
2014,S08000019,,0-44 years,,Females,,Coronary Heart Disease,1,,1.232179602,,1.151649162
2014,S08000019,,45-64 years,,Males,,Coronary Heart Disease,44,,106.1673584,,109.6818984
2014,S08000019,,45-64 years,,Females,,Coronary Heart Disease,12,,27.81770133,,28.48356747
2014,S08000019,,65-74 years,,Males,,Coronary Heart Disease,47,,321.8516743,,336.1811413
2014,S08000019,,65-74 years,,Females,,Coronary Heart Disease,23,,143.0704155,,144.8072511
2014,S08000019,,75plus years,,Males,,Coronary Heart Disease,127,,1325.263487,,1441.608278
2014,S08000019,,75plus years,,Females,,Coronary Heart Disease,120,,863.0609896,,863.3521824
2014,S08000020,,0-44 years,,Males,,Coronary Heart Disease,8,,4.79231313,,5.095440692
2014,S08000020,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2014,S08000020,,45-64 years,,Males,,Coronary Heart Disease,73,,93.58734391,,94.73687622
2014,S08000020,,45-64 years,,Females,,Coronary Heart Disease,14,,17.82508499,,18.38528751
2014,S08000020,,65-74 years,,Males,,Coronary Heart Disease,100,,375.3753754,,391.7391182
2014,S08000020,,65-74 years,,Females,,Coronary Heart Disease,29,,102.1090807,,103.1892805
2014,S08000020,,75plus years,,Males,,Coronary Heart Disease,232,,1286.102334,,1379.301988
2014,S08000020,,75plus years,,Females,,Coronary Heart Disease,246,,946.8822171,,902.5049
2014,S08000022,,0-44 years,,Males,,Coronary Heart Disease,4,,5.052163589,,5.532915614
2014,S08000022,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2014,S08000022,,45-64 years,,Males,,Coronary Heart Disease,40,,85.32241206,,84.07523544
2014,S08000022,,45-64 years,,Females,,Coronary Heart Disease,14,,28.64919066,,28.21546443
2014,S08000022,,65-74 years,,Males,,Coronary Heart Disease,72,,377.6553895,,391.1994899
2014,S08000022,,65-74 years,,Females,,Coronary Heart Disease,28,,139.0751503,,143.3591489
2014,S08000022,,75plus years,,Males,,Coronary Heart Disease,143,,1158.36371,,1284.778488
2014,S08000022,,75plus years,,Females,,Coronary Heart Disease,124,,704.2253521,,681.3325652
2014,S08000024,,0-44 years,,Males,,Coronary Heart Disease,19,,7.60027361,,8.143206652
2014,S08000024,,0-44 years,,Females,,Coronary Heart Disease,3,,1.185639534,,1.197554702
2014,S08000024,,45-64 years,,Males,,Coronary Heart Disease,97,,90.10431665,,92.91653996
2014,S08000024,,45-64 years,,Females,,Coronary Heart Disease,30,,26.92708146,,27.84185543
